site,borough,crashes,observed_rate,expected_rate,base_rate,excess,excess_z,excess_lower_95,latitude,longitude,top_factors
FLATLANDS AVENUE @ VAN SICLEN AVENUE,BROOKLYN,32,0.5625,0.4335,0.3689,0.1089,1.4043,-0.0431,40.65452,-73.882225,Driver Inattention/Distraction; Following Too Closely
MACOMBS PLACE @ WEST 155 STREET,MANHATTAN,47,0.4894,0.3876,0.3398,0.0816,1.2817,-0.0432,40.82803,-73.934845,Driver Inattention/Distraction; Other Vehicular
BEVERLEY ROAD @ FLATBUSH AVENUE,BROOKLYN,47,0.6383,0.5468,0.372,0.0713,1.2193,-0.0433,40.64507,-73.95803,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
MAJOR DEEGAN EXPRESSWAY @ WEST FORDHAM ROAD,BRONX,230,0.4435,0.4074,0.3467,0.0159,0.5255,-0.0434,40.861862,-73.91275,Driver Inattention/Distraction; Following Too Closely
GRAND CENTRAL PARKWAY @ UNION TURNPIKE,QUEENS,68,0.5147,0.4263,0.3632,0.0683,1.1921,-0.044,40.72013,-73.79038,Driver Inattention/Distraction; Following Too Closely
BARRETTO STREET @ BRUCKNER BOULEVARD,BRONX,66,0.4394,0.3576,0.3482,0.0616,1.1408,-0.0442,40.818798,-73.89213,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
11 AVENUE @ WEST 34 STREET,MANHATTAN,39,0.5897,0.4925,0.3399,0.0771,1.2383,-0.0449,40.75578,-74.00199,Failure To Yield Right-Of-Way; Pedestrian/Bicyclist/Other Pedestrian Error/Confusion
EAST 149 STREET @ GERARD AVENUE,BRONX,32,0.625,0.504,0.3528,0.1008,1.3553,-0.045,40.819057,-73.92922,Driver Inattention/Distraction; Turning Improperly
2 AVENUE @ EAST 58 STREET,MANHATTAN,60,0.6833,0.6047,0.3437,0.0585,1.105,-0.0452,40.759983,-73.964806,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
CLARENDON ROAD @ KINGS HIGHWAY,BROOKLYN,39,0.5897,0.4713,0.3629,0.0983,1.3403,-0.0454,40.64495,-73.9249,Failure To Yield Right-Of-Way; Driver Inattention/Distraction
NORTH CONDUIT AVENUE @ ROCKAWAY BOULEVARD,QUEENS,65,0.5231,0.4397,0.3427,0.0632,1.1391,-0.0455,40.667522,-73.78063,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
